text,classes
"Qual é o horário do vôo?",outContext
"A BandTec é uma boa faculdade?",outContext
"Onde fica o shopping?",outContext
"Qual é a capital do Brasil?",outContext
"Onde fica São Paulo?",outContext
"Qual é a diferença entre amarelo e vermelho?",outContext
"Está chovendo?",outContext
"Amanhã vai fazer sol?",outContext
"Que carro eu devo comprar?",outContext
"Ela é bonita?",outContext
"Qual é a aluna mais gostosa da classe?",outContext
"Quem é o mais esperto?",outContext
"Quais são os professores da faculdade?",outContext
"Ele tem namorada? ",outContext
"Ele é bonito?",outContext
"Vai chover hoje?",outContext
"Vai ter prova hoje?",agenda
"Quando começa o semestre?",agenda
"Onde eu encontro o material da disciplina?",material
"Como é feito o cálculo da média?",regra
"O que vai cair na prova?",conteudoAval
"Qual foi a minha média na disciplina de estrutura de dados?",nota
"Quais são as normas?",regra
"Quando será o próximo happy hour?",outContext
"onde estão as minhas notas?",nota
"onde eu encontro as minhas notas?",nota
"vc sabe onde encontro notas?",nota
"vc sabe onde encontro os material?",material
